IDAudienciaReunion;Cut;Nombre_Institucion;IDORPortal_Institucion;Nombre_Comuna;Nombre_TiposForma;FechaInicio_Audiencia;DuracionMinuto_Audiencia;Lugar_Audiencia;ObservacionesMateria_Audiencia;Descripcion_Materia
453;1;CONSEJO PARA LA TRANSPARENCIA;CT001;Sin Información;Presencial;2014-12-09 00:00:00;60;Consejo para la Transparencia?Morande 360, piso 6?Santiago;Visita de cortesía en la que se tocarían temas de la colaboración del IFAI y el CPLT en la Red para la Transparencia y Acceso a la Información Pública (RTA) y la Red Iberoamericana de Protección de Datos (RIPD).;Ninguna de las anteriores.
454;1;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;Sin Información;Presencial;2014-12-01 00:00:00;60;Minvu;Problemas habitacionales de los Comités Don Fermín I y Grupo Bicentenario.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
455;1;SUBSECRETARÍA DEL MEDIO AMBIENTE;AW002;Sin Información;Presencial;2014-12-02 00:00:00;60;Sala de Reuniones de Gabinete;Hablar sobre emisiones de escape de los vehículos de seguridad y tendencias regulatorias en Chile?Resumen Acta:  La reunión trató sobre emisiones de escape de los vehículos de seguridad y tendencias regulatorias en Chile, Participa además el jefe de la División de Calidad del Aire y profesionales de su equipo.;Ninguna de las anteriores.
456;1;SUBSECRETARÍA DE ECONOMÍA;AH001;Sin Información;Presencial;2014-12-10 00:00:00;45;Av. Libertador Bernardo OHiggins Nº 1449, Santiago Downtown Torre II, piso 12;Cajeros Automáticos;Ninguna de las anteriores.
457;1;SUBSECRETARÍA DE PREVISIÓN SOCIAL;AL002;Sin Información;Presencial;2014-12-11 00:00:00;60;Subsecretaría de Previsión Social, Huérfanos 1273, piso 9, Gabinete Subsecretario;Abordar temas referentes a la ley 20255, y sus nuevos alcances hacia honorarios públicos?Los trabajadores públicos a honorarios plantearon sus inquietudes al Subsecretario Marcos Barraza, respecto de la obligatoriedad de cotizar de los trabajadores independientes a partir del 1 de enero del 2015 de acuerdo al cronograma de la reforma previsional del 2008.;Elaboración, tramitación, aprobación, modificación, derogación o rechazo de acuerdos, declaraciones o decisiones del Congreso Nacional o sus miembros incluidas sus comisiones.
458;1;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;Sin Información;Presencial;2014-12-02 00:00:00;30;gabinete ministra;IMPLEMENTACION ETIQUETADO NUTRICIONAL ALIMENTOS;Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos.
459;1;SUBSECRETARÍA DE TURISMO;AH011;Sin Información;Presencial;2014-12-05 00:00:00;60;Subsecretaría de Turismo;Relación público privado en el sector turismo.?Ley sobre el sector turismo.?Modelo de promoción y ley laboral.;Ninguna de las anteriores.
460;1;SUBSECRETARÍA DE PREVENCIÓN DE DELITOS;AB093;Sin Información;Presencial;2014-12-12 00:00:00;60;Subsecretaria;Informar al Subsecretario sobre un Sistema de Seguridad de Taxis Colectivos para la CONATACOCH;Ninguna de las anteriores.
461;1;FUERZA AÉREA DE CHILE;AD008;Sin Información;Presencial;2014-12-11 00:00:00;30;Avda. Pedro Aguirre Cerda 5500 - Edificio Delphos - Piso 16;SALUDO PROTOCOLAR;Ninguna de las anteriores.
462;1;SUBSECRETARÍA DE TURISMO;AH011;Sin Información;Presencial;2014-12-09 00:00:00;60;Subsecretaría de Turismo;Presentar modelo de auspicio de www.diarioturismo.cl?Presentar "Yo corro por el Turismo 2015".?Explicar taller de Emprendimiento y Tecnología para el Turismo.?Vincular a Google en subsector para encuentro audiovisual.;Ninguna de las anteriores.
463;1;SUBSECRETARÍA DEL TRABAJO;AL001;Sin Información;Presencial;2014-12-05 00:00:00;60;Gabinete Subsecretario;Situación laboral Cencosud-Almacenes Paris.;Ninguna de las anteriores.
464;1;SUBSECRETARÍA DEL TRABAJO;AL001;Sin Información;Presencial;2014-12-05 00:00:00;60;Gabinete subsecretaría;Alcance del articulado transitorio de Ley de Fármacos.?Nuevo dictamen Dirección del Trabajo?Preocupación por parte de empresas Salcobrand sobre como calcular la remuneración variable considerando la ampliación  a productos fármacos y no fármacos.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
465;1;SUBSECRETARÍA DE PREVISIÓN SOCIAL;AL002;Sin Información;Presencial;2014-12-15 00:00:00;30;Huerfanos 1273, piso 9 gabinete;La Asociación Nacional de Receptores Judiciales de Chile  plantearon a la autoridad sus inquietudes respecto a la situación previsional del gremio al que representan. para ello hicieron entrega de dos informes uno titulado "Estatuto Jurídico de los Receptores Judiciales y su Régimen Previsional" elaborado por Pilar Sáez y Miguel Aylwin, del 27 de julio del 2011, y un segundo informe titulado "Informe Receptores Judiciales" elaborado por Ossandon Abogados.La Autoridad instruirá el análisis en términos jurídicos de las circunstancias que plantean.??El sistema previsional de los receptores judiciales se rige por la Ley 5.931.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
466;1;FUERZA AÉREA DE CHILE;AD008;Sin Información;Presencial;2014-12-15 00:00:00;30;Pedro Aguirre Cerda 5500 Cerrillos Cdo. Logístico;LOS REPRESENTANTES DE LA EMPRESA ROLLER GROUP LTDA., REALIZARON LA PRESENTACIÓN DE LOS PRODUCTOS QUE OFRECEN LAS COMPAÑÍAS EUROPEAS:  LAN FRANCO, SEFAC DE FRANCIA Y GRUPOS DIFERENCIALES DE ESPAÑA, LA PRIMERA EMPRESA PROVEE DE REPUESTOS, EQUIPOS E INSUMOS INDUSTRIALES, EN SECTOR DE DEFENSA., LA SIGUIENTE EMPRESA OFRECE PERNERIA Y TUERCAS AUTOBLOCANTES DE SEGURIDAD, A LAS CUALES SE LES INDICÓ QUE PARA NUESTRA INSTITUCIÓN NO ES APLICABLE, YA QUE TODOS ESTOS ELEMENTOS DEBEN SER  VALIDADOS Y CONTAR CON Nº OTAN,  EN RELACIÓN A LA EMPRESA QUE OFRECE EQUIPOS DE LEVANTAMIENTOS, SE LE SOLICITÓ ENTREGAR INFORMACIÓN PARA  CUALQUIER REQUERIMIENTO  QUE SE PUDIESE TENER.;Ninguna de las anteriores.
467;1;SUBSECRETARÍA DE TURISMO;AH011;Sin Información;Presencial;2014-12-04 00:00:00;60;Subsecretaría de Turismo;Retomar mesa de trabajo Sernac?Apoyo para facilitar ingreso de turistas  a la Copa América a través de Tour Operadores?Aumento de precio en laguna ubicada en el  salar  de San Pedro de Atacama que restringe  acceso;Ninguna de las anteriores.
468;1;SUBSECRETARÍA DE PREVISIÓN SOCIAL;AL002;Sin Información;Presencial;2014-12-18 00:00:00;90;Huérfanos 1273, piso 9, Gabinete Subsecretario de Previsión Social;En la reunión, se planteo a la autoridad, los siguientes puntos:?1.- Problemas para calificar puestos de trabajo como pesados.?2.- Dificultad para calificar enfermedades profesionales propias del sector marítimo. ?3.- Plantean que gran parte de sus problemas se solucionarían en la medida que Chile ratificara los Convenios del año 2006 y 2002, aprobados por Chile que tratan estas materias (marina mercante) a nivel internacional.?4.. Adjuntan casos que presentan problemas en el procedimiento de evaluación de enfermedades profesionales.;Elaboración, tramitación, aprobación, modificación, derogación o rechazo de acuerdos, declaraciones o decisiones del Congreso Nacional o sus miembros incluidas sus comisiones.
469;1;SUBSECRETARIA DE VIVIENDA Y URBANISMO;AP001;Sin Información;Presencial;2014-12-18 00:00:00;60;Alameda 924, 4to. piso;Posibilidad de concretar adquisición de terreno de propiedad de la Universidad de Chile para dar solución habitacional para comités de comuna de La Reina..;Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos.
470;1;SUBSECRETARÍA DE AGRICULTURA;AR001;Sin Información;Presencial;2014-12-15 00:00:00;60;Teatinos 40, 9° piso, Gabinete Ministro de Agricultura;Reunión Proyecto el Canelo de San José de la Empresa Coyanco;Ninguna de las anteriores.
471;1;SUBSECRETARÍA DE AGRICULTURA;AR001;Sin Información;Presencial;2014-12-22 00:00:00;60;Teatinos 40, 9° piso;Presentación del Estudio de Evaluación del Aporte económico y social del sector Forestal en Chile (PROGEA - Universidad de Chile.?Encuesta de Opinión del Sector Forestal;Ninguna de las anteriores.
472;1;SUBSECRETARÍA DEL TRABAJO;AL001;Sin Información;Presencial;2014-12-19 00:00:00;60;Gabinete Subsecretaría;Análisis de la Situación laboral Interna de Metro?Agenda futuro de Metro.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
472;1;SUBSECRETARÍA DEL TRABAJO;AL001;Sin Información;Presencial;2014-12-19 00:00:00;60;Gabinete Subsecretaría;Análisis de la Situación laboral Interna de Metro?Agenda futuro de Metro.;Elaboración, tramitación, aprobación, modificación, derogación o rechazo de acuerdos, declaraciones o decisiones del Congreso Nacional o sus miembros incluidas sus comisiones.
473;1;SUBSECRETARÍA DE ECONOMÍA;AH001;Sin Información;Presencial;2014-12-22 00:00:00;90;Gabinete Ministro;Discusión materias sobre protección de los derechos de los consumidores financieros.?exponer sobre la posición de la industria, respecto de los derechos de los consumidores en el ámbito bancario.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
474;1;SUBSECRETARÍA DE ECONOMÍA;AH001;Sin Información;Presencial;2014-12-22 00:00:00;45;Gabinete de la Subsecretaria;Plantear espacios de colaboración público-privado para fortalecer la capacitación del capital humano del país, y el intercambio de experiencias formativas entre Chile y la India, especialmente en el ámbito de las tecnologías de la información.  ?;Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos.
475;1;SUBSECRETARÍA DE AGRICULTURA;AR001;Sin Información;Presencial;2014-12-18 00:00:00;60;Sala de reuniones Gabinete Subsecretario;La idea de la reunión:?1-  expresar la preocupación del sector productor de carne bovina referente al funcionamiento de ciertas herramientas de control de  trazabilidad, específicamente el SIPEC.?2 Exponer algunas dificultades que se generan por la actual norma PABCO para desarrollar la exportación.?y 3 Proponer algunas ideas de como avanzar en un encadenamiento productivo " piloto" para  fomentar la exportación de carne y desarrollar a toda la cadena de valor de dicha industria.;Ninguna de las anteriores.
476;1;SUBSECRETARÍA DEL TRABAJO;AL001;Sin Información;Presencial;2014-12-22 00:00:00;60;Gabinete Subsecretario;1.- Ratificación Convenio  2006?2.- Convenio 185 Documentación  Marinos Mercantes ?3.-Ley de Trabajo Pesado?4.-Modificaciones al Código del trabajo, artículos 97, 116?5.- Sindicalización;Elaboración, tramitación, aprobación, modificación, derogación o rechazo de acuerdos, declaraciones o decisiones del Congreso Nacional o sus miembros incluidas sus comisiones.
477;1;SUBSECRETARÍA DE HACIENDA;AE001;Sin Información;Presencial;2014-12-23 00:00:00;90;Ministerio de Hacienda;Situación de la actividad de la construcción.?Perfeccionamiento del D.S 16?Modificación de la OGUC?Rápida ejecución del presupuesto público?Traspaso de programa de hospitales al MOP?Adelantar dictación de reglamento de la Reforma Tributaria ?Apoyo a nueva institucionalidad de Concesiones.;Ninguna de las anteriores.
478;1;SUBSECRETARÍA DE HACIENDA;AE001;Sin Información;Presencial;2014-12-24 00:00:00;90;Teatinos 120 - Piso 12;Ante proyecto de ley de fortalecimiento de derechos colectivos. Reforma Laboral?Proyecto de Ley sobre fortalecimiento de la negociación colectiva en las empresas.?Pactos de adaptabilidad?Sanciones a huelgas ilegales;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
479;1;SUBSECRETARÍA DEL TRABAJO;AL001;Sin Información;Presencial;2014-12-23 00:00:00;60;Gabinete Ministra;Reformas Laborales: Principales impactos en la minería??Capacitación: Avances del Consejo de Competencias Mineras. Plan de Capacitación, posibilidad de extender cursos SENCE para estándares del Consejo Minero.;Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos.
479;1;SUBSECRETARÍA DEL TRABAJO;AL001;Sin Información;Presencial;2014-12-23 00:00:00;60;Gabinete Ministra;Reformas Laborales: Principales impactos en la minería??Capacitación: Avances del Consejo de Competencias Mineras. Plan de Capacitación, posibilidad de extender cursos SENCE para estándares del Consejo Minero.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
480;1;SUBSECRETARÍA DEL TRABAJO;AL001;Sin Información;Presencial;2014-12-22 00:00:00;60;Gabinete Ministra.?Calle Huérfanos 1273. Piso 6;Representantes de los trabajadores de la Empresa de Ferrocarriles del Estado, pensionados por accidentes en actos del servicio, acogidos a los beneficios contemplados en el D.S. N° 2.259 de 1931, deben jubilar por vejez una vez cumplida la edad legal dejando de percibir la pensión por invalidez contemplada en el señalado D.S. N° 2.259.- Necesitan resolver la situación previsional que los afecta y para ello requieren hablar en forma urgente con la señora Ministra del Trabajo.??Acuerdo: Formación Mesa de Trabajo. Subsecretaria de Previsión Social.  Inicio de actividades: Viernes 9 de enero, 09.00 hrs.;Ninguna de las anteriores.
481;1;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;Sin Información;Presencial;2014-12-18 00:00:00;30;Gabinete Ministra Rincón, Palacio de la Moneda?30 minutos de audiencia;Abordar las propuestas relativas a cambios en la ley de partidos políticos y financiamiento de la política;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
482;1;SUBSECRETARÍA GENERAL DE LA PRESIDENCIA;AF001;Sin Información;Presencial;2014-12-02 00:00:00;60;Gabinete Ministra Segpres;1 Microsoft está comprometido con Chile desde hace más de veinte años. Contamos con una red de cerca de 2.000 socios locales y estamos poniendo en marcha un nuevo centro de datos de Microsoft en Chile (co-location) para asegurar a nuestros clientes la mejor experiencia en la nube y acceso a tecnología de manera más económica y eficiente. Estamos anunciando un nuevo plan de inversión para Chile, para los próximos 5 años, y más de 1 MM jóvenes serán entrenados en los distintos programas de ciudadanía corporativa.??2. Microsoft lanzará una incubadora/aceleradora el 3 de diciembre, en colaboración con el Ministerio de Economía, CORFO y GECHS (cámara de desarrolladores de software). Esta inversión conjunta de más de US $ 10 millones, tendrá un impacto en 4.000 nuevas empresas en los próximos cinco años.??Se trata de incubación de proyectos, encaminarlos hacia ciertas industrias, de la inserción con clientes y mentoring para acelerar la creación de nuevas compañías. Estamos enfocados en generar empresas en poco tiempo, que demoren a lo más dos años en estar instaladas, contratando personal y satisfaciendo necesidades para industrias como la minera, retail,  banca y sector público, que son muy sofisticadas y requieren del uso intensivo de tecnologías para aumentar sus niveles de eficiencia.;Ninguna de las anteriores.
483;1;ARMADA DE CHILE;AD007;Sin Información;Presencial;2014-12-22 00:00:00;60;Dirección de Bienestar Social de la Armada.?Jorge Montt 11700, Las Salinas, Viña del Mar.;Convenio BBVA con Departamento de Bienestar de la Armada;Ninguna de las anteriores.
484;1;SUBSECRETARIA DE ENERGÍA;AU002;Sin Información;Presencial;2014-12-22 00:00:00;60;Ministerio de Energía, Alameda 1449, piso 13;TEMA ENERGIA;Ninguna de las anteriores.
485;1;SUBSECRETARIA DE ENERGÍA;AU002;Sin Información;Presencial;2014-12-17 00:00:00;60;Ministerio de Energía;Proyecto Solar Fotovoltaico Inti de 80.5MWn, en la Comuna María Elena, Región II de Antofagasta, con una inversión estimada de US$160mill.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
486;1;SUBSECRETARÍA DE SALUD PÚBLICA ;AO001;Sin Información;Presencial;2014-12-23 00:00:00;30;MINISTERIO DE SALUD MAC-IVER 541 3º PISO;Coordinar día mundial de la salud bucal de marzo 2015?Plan Bucal año 2015?Definición de interlocutor en MINSAL, para nivel secundario de atención?Solicita aumento de Odontólogos en ciclo de destinación?Considerar las brechas odontológicas en la definición de nuevos establecimientos;Ninguna de las anteriores.
487;1;EJÉRCITO DE CHILE;AD006;Sin Información;Presencial;2014-12-29 00:00:00;60;Dirección de Logística del Ejército  (Av. Blanco Encalada N° 1724, Santiago Centro, Región Metropolitana).;Nuestra Empresa Antuan Jury S.A., durante varios años ha formado parte de los proveedores habituales de compras del Ejército de Chile, logrando entregar  vestuario  y  servicios de calidad,  en fiel cumplimiento de los requerimientos y especificaciones de vuestra Institución.??Actualmente nos encontramos en un proceso de planificación  e innovación  de nuestros productos y servicios para el año 2015, para tales efectos hemos comenzado una etapa de levantamiento con nuestros principales clientes, dentro de los cuales destacan ustedes.??En este sentido,  le solicitamos a usted podamos coordinar reunión  durante el mes de diciembre, para conocer aspectos generales de las compras que el Ejército  tiene en perspectiva para el próximo año.??Desde ya le agradecemos vuestra disposición y quedamos a la espera de sus indicaciones.;Ninguna de las anteriores.
488;1;SUBSECRETARÍA DE PESCA;AH002;Sin Información;Presencial;2014-12-11 00:00:00;60;Subsecretaria de Pesca y Acuicultura,  Bellavista # 168, piso 18, Valparaíso;Cuotas 2015 Pesquerias Pelágicas III Y IV Regiones;Ninguna de las anteriores.
489;1;SUBSECRETARIA DE ENERGÍA;AU002;Sin Información;Presencial;2014-12-23 00:00:00;780;Alameda 1449 Torre II piso 13;Ahorro y eficiencia energética;Ninguna de las anteriores.
490;1;SUBSECRETARIA DE ENERGÍA;AU002;Sin Información;Presencial;2014-12-15 00:00:00;60;Alameda 1449, piso 13. Oficina Subsecretaría;Avance proyecto ERNC;Ninguna de las anteriores.
491;1;SUBSECRETARIA DE ENERGÍA;AU002;Sin Información;Presencial;2014-12-16 00:00:00;60;Alameda 1449, piso 13;Aporte jurídico para la solución de conflicto planteados en la Central Hidroeléctrica Coyanco;Ninguna de las anteriores.
492;1;SUBSECRETARÍA DEL INTERIOR;AB001;Sin Información;Presencial;2014-12-19 00:00:00;60;Gabinete subsecretaría;Plantear inquietud del gremio por dificultad de brigadistas de incendios, para controlar incendios forestales y solicitar apoyo para cumplir tal función. ?A esta reunión asistieron, además, los Srs. Eduardo Hernández, Gerente Forestal Mininco; José Muñoz, Gerente de Producción de Volterra y, Alvaro Cruz, Director de Empresas Bosques Cautín.;Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos.
493;1;SUBSECRETARÍA DE JUSTICIA;AK001;Sin Información;Presencial;2014-12-12 00:00:00;45;GABINETE MINISTRO - MORANDÉ 107 - PISO 3 - SANTIAGO - REGIÓN METROPOLITANA;Proyecto de Ley que Moderniza y Fortalece el Funcionamiento y la Fiscalización del Sistema Registral y Notarial;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
494;1;SUBSECRETARÍA DE JUSTICIA;AK001;Sin Información;Presencial;2014-12-11 00:00:00;30;GABINETE MINISTRO - MORANDÉ 107 - PISO 3 - SANTIAGO - REGIÓN METROPOLITANA;1.?Terreno Empresa TECHPACK San Miguel?2.?Terreno Empresa TECHPACK San Bernardo;Ninguna de las anteriores.
495;1;SUBSECRETARÍA DE JUSTICIA;AK001;Sin Información;Presencial;2014-12-04 00:00:00;45;GABINETE MINISTRO - MORANDÉ 107 - PISO 3 - SANTIAGO - REGIÓN METROPOLITANA;Política Institucional?Asuntos Gremiales.;Ninguna de las anteriores.
496;1;SUBSECRETARIA DE TRANSPORTES;AN001;Sin Información;Presencial;2014-12-22 00:00:00;60;GABINETE MINISTRO, AMUNATEGUI 139, PISO 3;Informar sobre el proyecto de conectividad (fibra óptica submarino) austral ejecutado por la empresa Telefónica del Sur S.A., proyectos del resto de las empresas de Gtd Grupo Teleductos S.A.;Ninguna de las anteriores.
497;1;SUBSECRETARIA DE TRANSPORTES;AN001;Sin Información;Presencial;2014-12-22 00:00:00;60;Amunategui 139 piso 3;Presentar a usted nuestra empresa, Recaudo Bogotá y su experiencia en la operación de la Fase 3 del Sistema Transmilenio y de la totalidad de la operación del Sistema Integrado de Transporte Publico en Bogotá (SITP), Colombia.? ?Recaudo Bogotá es la empresa que cumple el rol de Operador Tecnológico de la Fase 3 del Transmilenio y del sistema SITP, en Bogotá, cumpliendo las funciones de la Operación de la plataforma tecnológica para:? ?- Recaudo Electrónico: en buses zonales con validadores embarcados y también en zonas pagas, con torniquetes en estaciones.?- Sistema de Gestión de Flota: sistema de gestión de flota de tipo on-line, con GPS embarcado, consola con comunicación al conductor e información al usuario.?- Información al Usuario: Información en paraderos, buses y plataformas web.?- Implementación de Red de Recarga: implementación de mas de 4.500 puntos de recarga.? ?Para la implantación del SITP, Recaudo Bogotá tiene como socio tecnológico a la empresa LG CNS, en donde se han implementado al día de hoy mas de 7.000 buses;Celebración, modificación o terminación a cualquier título, de contratos que realicen los sujetos pasivos y que sean necesarios para su funcionamiento.
497;1;SUBSECRETARIA DE TRANSPORTES;AN001;Sin Información;Presencial;2014-12-22 00:00:00;60;Amunategui 139 piso 3;Presentar a usted nuestra empresa, Recaudo Bogotá y su experiencia en la operación de la Fase 3 del Sistema Transmilenio y de la totalidad de la operación del Sistema Integrado de Transporte Publico en Bogotá (SITP), Colombia.? ?Recaudo Bogotá es la empresa que cumple el rol de Operador Tecnológico de la Fase 3 del Transmilenio y del sistema SITP, en Bogotá, cumpliendo las funciones de la Operación de la plataforma tecnológica para:? ?- Recaudo Electrónico: en buses zonales con validadores embarcados y también en zonas pagas, con torniquetes en estaciones.?- Sistema de Gestión de Flota: sistema de gestión de flota de tipo on-line, con GPS embarcado, consola con comunicación al conductor e información al usuario.?- Información al Usuario: Información en paraderos, buses y plataformas web.?- Implementación de Red de Recarga: implementación de mas de 4.500 puntos de recarga.? ?Para la implantación del SITP, Recaudo Bogotá tiene como socio tecnológico a la empresa LG CNS, en donde se han implementado al día de hoy mas de 7.000 buses;Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos.
498;1;SUBSECRETARÍA DE EDUCACIÓN;AJ001;Sin Información;Presencial;2014-12-23 00:00:00;60;Subsecretaría de Educación, Av. Libertador Bernardo OHiggins Nº 1371, piso 6, Santiago;Presentar situación financiera que afecta a la Escuela Básica Particular Subvencionada "Arturo Prat", ubicada en el Cerro La Cruz de Valparaíso, la que a raíz del Gran Incendio de abril pasado, perdió asistencia de alumnos, debido a la migración de sus residentes, producto de haber perdido sus hogares. ?La Escuela presenta un déficit financiero, por lo que se requiere una solución para los años 2014, 2015, ya que para el 2016, se estima habrán regresado sus residentes al completarse la reconstrucción.;Diseño, implementación y evaluación de políticas, planes y programas efectuados por los sujetos pasivos.
499;1;SUBSECRETARIA DE TRANSPORTES;AN001;Sin Información;Presencial;2014-12-23 00:00:00;60;Gabinete Ministro, Amunátegui 139, piso 3;Reposición del Concurso de Frecuencias Radio Trunking en la Banda 400Mhz suspendido;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
500;1;SUBSECRETARIA DE TRANSPORTES;AN001;Sin Información;Presencial;2014-12-22 00:00:00;60;Ministerio de Transportes y Telecomunicaciones;Proyectos de transporte en Valparaíso?1. Terminal Cerros de Valparaíso?2. Proyecto Teleféricos y Ascensores.;Ninguna de las anteriores.
501;1;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;Sin Información;Presencial;2014-12-22 00:00:00;60;Oficina Sr. Subsecretario Sergio Galilea, ubicada en morandé 59 Piso 6º, Santiago.;El señor Painecura junto con dirigentes del sector costero de Carahue desean conversar sobre la pavimentación de la carretera de la Costa, tramos Tranapuente Casa de Piedra y pavimentación básica de camino a playas de Lobería 5 kilómetros y Hueañalihuen 6 kilómetros. La idea es presentar esta propuesta para su estudio y factibilidad presupuestaria 2015.;Ninguna de las anteriores.
502;1;EJÉRCITO DE CHILE;AD006;Sin Información;Presencial;2014-12-30 00:00:00;30;Comando de Ingenieros santo domingo 3317  Quinta Normal (oficina del CINGE);la audiencia se solicitó para plantear la posibilidad de arrendar terrenos del Ejército para la implementación de producción de electricidad mediante energía solar.;Ninguna de las anteriores.
503;1;FUERZA AÉREA DE CHILE;AD008;Sin Información;Presencial;2014-12-26 00:00:00;30;OFICINA DEL SEÑOR JEFE DE LA DIVISIÓN DE BIENESTAR SOCIAL, PRIMER PISO, ALA NORTE DEL EDIFICIO DEL COMANDO DE PERSONAL, GRAN AVDA. 10.525 PARADERO 32 1/2 COMUNA EL BOSQUE.;Se recepciónó  Curriculu Vitae, el que fue entregado en la Sección Personal de la Unidad para ser considerado en la base de datos de postulantes.;Ninguna de las anteriores.
504;1;SUBSECRETARÍA DE ECONOMÍA;AH001;Sin Información;Presencial;2014-12-26 00:00:00;60;Gabinete Ministro;1- Proyecto de ley SERNAC?2- Reglamento consentimiento.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
504;1;SUBSECRETARÍA DE ECONOMÍA;AH001;Sin Información;Presencial;2014-12-26 00:00:00;60;Gabinete Ministro;1- Proyecto de ley SERNAC?2- Reglamento consentimiento.;Elaboración, tramitación, aprobación, modificación, derogación o rechazo de acuerdos, declaraciones o decisiones del Congreso Nacional o sus miembros incluidas sus comisiones.
505;1;EJÉRCITO DE CHILE;AD006;Sin Información;Presencial;2014-12-02 00:00:00;30;HOSPITAL MILITAR DE SANTIAGO;CONVENIO DE ATENCIÓN PREFERENTE;Celebración, modificación o terminación a cualquier título, de contratos que realicen los sujetos pasivos y que sean necesarios para su funcionamiento.
506;1;SUBSECRETARÍA DE DESARROLLO REGIONAL Y ADMINISTRATIVO (SUBDERE);AB002;Sin Información;Presencial;2014-12-18 00:00:00;60;Morandé N° 115, comuna de Santiago. Piso 12?.;Alcance ley 20255 y realidad laboral trabajadores a honorarios públicos.??Los Gestores de Intereses Particulares, señalan representar a la Unión Nacional de Trabajadoras y Trabajadores Públicos a Honorarios. Hicieron presente su preocupación frente a las diferencias que existen entre las condiciones de los distintos funcionarios y funcionarias a honorarios, cotizaciones previsionales, e inestabilidad laboral en la que se encuentran. ??Asimismo, informan de reuniones que han realizado y otras que esperan concretar con diversos servicios, entre ellos el Ministerio del Trabajo, con el propósito de sumar apoyo en orden a mejorar la calidad contractual de trabajadoras y trabajadores públicos a honorarios. ??Requieren que el nivel central realice un estudio de diagnóstico de la situación, para posteriormente ser incorporados en las distintas instancias de trabajo y coordinación del sector público.??Se sugiere a los Gestores de Intereses Particulares que envíen los requerimientos que están planteado, sus fundamentos y antecedentes complementarios, mediante un documento.??Se hace presente que a la reunión sostenida, en el marco de la Ley N° 20.730, asistió el Sr. Patricio Bustamante Fredes, Rut.: 12.833.391-7, no contemplado en la Solicitud de Audiencia.;Elaboración, tramitación, aprobación, modificación, derogación o rechazo de acuerdos, declaraciones o decisiones del Congreso Nacional o sus miembros incluidas sus comisiones.
507;1;SUBSECRETARÍA DE OBRAS PÚBLICAS;AM001;Sin Información;Presencial;2014-12-17 00:00:00;45;Sala Reuniones Ministro.?Morandé 59, piso 6?45 minutos de reunión audiencia.;Hacer presente una serie de actos discriminatorios y monopólicos que se han venido registrando en el marco de las licitaciones de las subconcesiones de los servicios de transporte del aeropuerto por la actual concesionaria y que de no corregirse en las actuales bases de la licitación “Aeropuerto Internacional  Arturo Merino Benítez de Santiago” que está próxima a ser adjudicada, en el sentido de sustituirse aquellos aspectos en lo que se refiere al punto 1.10.10., literal C.2.) de tal forma de no exceptuarse del proceso de licitación las subconcesiones contenidas en los puntos 1.10.9.1, letras a) “Sistema de Embarque/Desembarque, c) “Servicios en Plataforma”,  1.10.9.3.1 letra g) “Servicios de Transporte Público y sus Áreas de Estacionamiento”, entre otros, afectaría el Art. 3 del DL 211-1973.;Elaboración, dictación, modificación, derogación o rechazo de actos administrativos, proyectos de ley y leyes, y también de las decisiones que tomen los sujetos pasivos
